2023 - 1º Semestre |                                |     |      |           |          |          |           |          |           |        
Rubrica            | Nome Rubrica                   | R/D | Seq. | JAN       | FEV      | MAR      | ABR       | MAI      | JUN       | Rubrica | Nome Rubrica                   | R/D | Seq. | JUL      | AGO      | SET      | OUT      | NOV       | DEZ      
00001              | VENCIMENTO BASICO              | R   | 0    | 3.323,17  | 3.323,17 | 3.323,17 | 3.323,17  | 3.622,26 | 3.763,52  | 00001   | VENCIMENTO BASICO              | R   | 0    | 3.763,52 | 3.763,52 | 3.763,52 | 3.763,52 | 3.763,52  | 3.763,52 
00136              | AUXÍLIO-ALIMENTACÃO            | R   | 0    | 458,00    | 458,00   | 458,00   | 658,00    | 658,00   | 658,00    | 00136   | AUXÍLIO-ALIMENTACÃO            | R   | 0    | 658,00   | 658,00   | 658,00   | 658,00   | 658,00    | 658,00   
82737              | PER CAPITA - SAUDE SUPLEMENTAR | R   | 0    | 244,04    | 244,04   | 244,04   | 244,04    | 232,76   | 232,76    | 82737   | PER CAPITA - SAUDE SUPLEMENTAR | R   | 0    | 232,76   | 232,76   | 232,76   | 232,76   | 232,76    | 232,76   
82925              | IQ - 52% - LEI 11.091/05 AT    | R   | 0    | 1.728,04  | 1.728,04 | 1.728,04 | 1.728,04  | 1.883,57 | 1.957,03  | 82925   | IQ - 52% - LEI 11.091/05 AT    | R   | 0    | 1.957,03 | 1.957,03 | 1.957,03 | 1.957,03 | 1.957,03  | 1.957,03 
83119              | GRAT.P/ENCARGO CURSO/CONCURSO  | R   | 6    | 0,00      | 0,00     | 0,00     | 0,00      | 0,00     | 190,46    |         |                                |     |      |          |          |          |          |           |          
                   |                                |     |      |           |          |          |           |          |           | 00176   | GRATIFICAÇÃO NATALINA AT       | R   | 0    | 0,00     | 0,00     | 0,00     | 0,00     | 5.720,55  | 0,00     
                   |                                |     |      |           |          |          |           |          |           | 00220   | FERIAS - ADICIONAL 1/3         | R   | 9    | 0,00     | 0,00     | 0,00     | 0,00     | 0,00      | 1.906,85 
00098              | FERIAS - RESTITUICAO           | D   | 9    | 0,00      | 1.171,42 | 0,00     | 0,00      | 0,00     | 0,00      |         |                                |     |      |          |          |          |          |           |          
34851              | MENSALIDADE SINDICAL - SINTEST | D   | 1    | 30,78     | 30,78    | 30,78    | 30,78     | 30,78    | 30,78     | 34851   | MENSALIDADE SINDICAL - SINTEST | D   | 1    | 30,78    | 36,22    | 36,22    | 36,22    | 72,44     | 36,22    
98002              | CONT. PLANO SEGURIDADE SOCIAL  | D   | 0    | 533,34    | 369,34   | 533,34   | 533,34    | 596,72   | 626,78    | 98002   | CONT. PLANO SEGURIDADE SOCIAL  | D   | 0    | 626,78   | 626,78   | 626,78   | 626,78   | 626,78    | 626,78   
